,金刚石负荷功率,玄武岩负荷功率,单位
203,301.28,227,kW
204,300.04,227,kW
205,298.14,227,kW
206,296.56,227,kW
207,294.99,227,kW
208,293.42,227,kW
209,291.84,227,kW
210,284.71,227,kW
211,283.13,227,kW
212,281.56,227,kW
213,279.99,227,kW
214,292.97,227,kW
215,320.5,227,kW
216,348.03,227,kW
217,375.56,227,kW
218,373.38,227,kW
219,341.49,227,kW
220,309.61,227,kW
221,277.72,227,kW
222,245.83,227,kW
223,213.94,227,kW
224,94.55,227,kW
225,203.56,227,kW
226,226.64,227,kW
227,272.81,227,kW
228,295.89,227,kW
229,295.89,227,kW
230,295.89,227,kW
231,295.89,227,kW
232,345.39,227,kW
233,394.89,227,kW
234,389.33,227,kW
235,389.33,227,kW
236,389.33,227,kW
237,389.33,227,kW
238,389.33,227,kW
239,389.33,227,kW
240,389.33,227,kW
241,389.33,227,kW
242,389.33,227,kW
243,389.33,227,kW
244,389.33,227,kW
245,389.66,227,kW
246,389.33,227,kW
247,389.33,227,kW
248,394.89,227,kW
249,394.89,227,kW
250,394.89,227,kW
251,394.89,227,kW
252,394.89,227,kW
253,394.89,227,kW
254,394.89,227,kW
255,394.89,227,kW
256,394.89,227,kW
257,394.89,227,kW
258,389.33,227,kW
259,389.33,227,kW
260,389.33,227,kW
261,389.33,227,kW
262,389.33,227,kW
263,389.33,227,kW
264,389.33,227,kW
265,389.33,227,kW
266,389.33,227,kW
267,389.33,227,kW
268,389.33,227,kW
269,389.33,227,kW
270,389.33,227,kW
271,389.66,227,kW
272,394.89,227,kW
273,394.89,227,kW
274,394.89,227,kW
275,394.89,227,kW
276,394.89,227,kW
277,394.89,227,kW
278,394.89,227,kW
279,394.89,227,kW
280,394.89,227,kW
281,394.89,227,kW
282,389.33,227,kW
283,389.33,227,kW
284,389.33,227,kW
285,389.33,227,kW
286,389.33,227,kW
287,389.33,227,kW
288,389.33,227,kW
289,389.33,227,kW
290,389.33,227,kW
291,389.33,227,kW
292,389.33,227,kW
293,389.33,227,kW
294,389.33,227,kW
295,389.33,227,kW
296,394.89,227,kW
297,394.89,227,kW
298,395.22,227,kW
299,394.89,227,kW
300,394.89,227,kW
301,394.89,227,kW
302,394.89,227,kW
303,394.89,227,kW
304,394.89,227,kW
305,394.89,227,kW
306,389.33,227,kW
307,389.33,227,kW
308,389.33,227,kW
309,389.33,227,kW
310,389.33,227,kW
311,389.33,227,kW
312,389.33,227,kW
313,389.33,227,kW
314,389.33,227,kW
315,389.33,227,kW
316,389.33,227,kW
317,389.33,227,kW
318,389.33,227,kW
319,389.33,227,kW
320,394.89,227,kW
321,394.89,227,kW
322,394.89,227,kW
323,394.89,227,kW
324,394.89,227,kW
325,395.22,227,kW
326,394.89,227,kW
327,394.89,227,kW
328,394.89,227,kW
329,394.89,227,kW
330,389.33,227,kW
331,389.33,227,kW
332,389.33,227,kW
333,389.33,227,kW
334,389.33,227,kW
335,389.33,227,kW
336,389.33,227,kW
337,389.33,227,kW
338,389.33,227,kW
339,389.33,227,kW
340,389.33,227,kW
341,389.33,227,kW
342,389.33,227,kW
343,389.33,227,kW
344,394.89,227,kW
345,394.1,227,kW
346,392.53,227,kW
347,390.96,227,kW
348,389.38,227,kW
349,387.81,227,kW
350,386.24,227,kW
351,385,227,kW
352,383.09,227,kW
353,381.52,227,kW
354,374.38,227,kW
355,372.81,227,kW
356,371.23,227,kW
357,369.66,227,kW
358,368.09,227,kW
359,366.51,227,kW
360,364.94,227,kW
361,363.37,227,kW
362,361.8,227,kW
363,360.22,227,kW
364,358.65,227,kW
365,357.08,227,kW
366,355.5,227,kW
367,353.93,227,kW
368,357.92,227,kW
369,356.34,227,kW
370,354.77,227,kW
371,353.2,227,kW
372,351.62,227,kW
373,350.05,227,kW
374,348.48,227,kW
375,346.91,227,kW
376,345.33,227,kW
377,343.76,227,kW
378,336.96,227,kW
379,335.05,227,kW
380,333.48,227,kW
381,331.9,227,kW
382,330.33,227,kW
383,328.76,227,kW
384,327.18,227,kW
385,325.61,227,kW
386,324.04,227,kW
387,322.46,227,kW
388,320.89,227,kW
389,319.32,227,kW
390,317.75,227,kW
391,316.17,227,kW
392,320.16,227,kW
393,318.59,227,kW
394,317.01,227,kW
395,315.44,227,kW
396,313.87,227,kW
397,312.29,227,kW
398,310.72,227,kW
399,309.15,227,kW
400,307.57,227,kW
401,306,227,kW
402,298.87,227,kW
403,297.29,227,kW
404,295.72,227,kW
405,294.48,227,kW
406,292.57,227,kW
407,291,227,kW
408,289.43,227,kW
409,287.85,227,kW
410,286.28,227,kW
411,284.71,227,kW
412,283.13,227,kW
413,281.56,227,kW
414,279.99,227,kW
415,292.97,227,kW
416,326.06,227,kW
417,353.59,227,kW
418,381.12,227,kW
419,378.94,227,kW
420,347.06,227,kW
421,315.17,227,kW
422,283.28,227,kW
423,251.39,227,kW
424,219.5,227,kW
425,94.55,227,kW
426,198,227,kW
427,221.08,227,kW
428,267.24,227,kW
429,290.33,227,kW
430,290.33,227,kW
431,290.33,227,kW
432,290.33,227,kW
433,339.83,227,kW
434,389.33,227,kW
435,389.33,227,kW
436,389.33,227,kW
437,389.33,227,kW
438,389.33,227,kW
439,389.33,227,kW
440,394.89,227,kW
441,394.89,227,kW
442,394.89,227,kW
443,394.89,227,kW
444,394.89,227,kW
445,394.89,227,kW
446,395.22,227,kW
447,394.89,227,kW
448,394.89,227,kW
449,394.89,227,kW
450,389.33,227,kW
451,389.33,227,kW
452,389.33,227,kW
453,389.33,227,kW
454,389.33,227,kW
455,389.33,227,kW
456,389.33,227,kW
457,389.33,227,kW
458,389.33,227,kW
459,389.33,227,kW
460,389.33,227,kW
461,389.33,227,kW
462,389.33,227,kW
463,389.33,227,kW
464,394.89,227,kW
465,394.89,227,kW
466,394.89,227,kW
467,394.89,227,kW
468,394.89,227,kW
469,394.89,227,kW
470,394.89,227,kW
471,394.89,227,kW
472,395.22,227,kW
473,394.89,227,kW
474,389.33,227,kW
475,389.33,227,kW
476,389.33,227,kW
477,389.33,227,kW
478,389.33,227,kW
479,389.33,227,kW
480,389.33,227,kW
481,389.33,227,kW
482,389.33,227,kW
483,389.33,227,kW
484,389.33,227,kW
485,389.33,227,kW
486,389.33,227,kW
487,389.33,227,kW
488,394.89,227,kW
489,394.89,227,kW
490,394.89,227,kW
491,394.89,227,kW
492,394.89,227,kW
493,394.89,227,kW
494,394.89,227,kW
495,394.89,227,kW
496,394.89,227,kW
497,394.89,227,kW
498,389.33,227,kW
499,389.66,227,kW
500,389.33,227,kW
501,389.33,227,kW
502,389.33,227,kW
503,389.33,227,kW
504,389.33,227,kW
505,389.33,227,kW
506,389.33,227,kW
507,389.33,227,kW
508,389.33,227,kW
509,389.33,227,kW
510,389.33,227,kW
511,389.33,227,kW
512,394.89,227,kW
513,394.89,227,kW
514,394.89,227,kW
515,394.89,227,kW
516,394.89,227,kW
517,394.89,227,kW
518,394.89,227,kW
519,394.89,227,kW
520,394.89,227,kW
521,394.89,227,kW
522,389.33,227,kW
523,389.33,227,kW
524,389.33,227,kW
525,389.33,227,kW
526,389.66,227,kW
527,389.33,227,kW
528,389.33,227,kW
529,389.33,227,kW
530,389.33,227,kW
531,389.33,227,kW
532,389.33,227,kW
533,389.33,227,kW
534,389.33,227,kW
535,389.33,227,kW
536,394.89,227,kW
537,394.89,227,kW
538,394.89,227,kW
539,394.89,227,kW
540,394.89,227,kW
541,394.89,227,kW
542,394.89,227,kW
543,394.89,227,kW
544,394.89,227,kW
545,394.89,227,kW
546,388.54,227,kW
547,386.97,227,kW
548,385.39,227,kW
549,383.82,227,kW
550,382.25,227,kW
551,380.67,227,kW
552,379.43,227,kW
553,377.53,227,kW
554,375.95,227,kW
555,374.38,227,kW
556,372.81,227,kW
557,371.23,227,kW
558,369.66,227,kW
559,368.09,227,kW
560,372.08,227,kW
561,370.5,227,kW
562,368.93,227,kW
563,367.36,227,kW
564,365.78,227,kW
565,364.21,227,kW
566,362.64,227,kW
567,361.06,227,kW
568,359.49,227,kW
569,357.92,227,kW
570,350.78,227,kW
571,349.21,227,kW
572,347.64,227,kW
573,346.06,227,kW
574,344.49,227,kW
575,342.92,227,kW
576,341.34,227,kW
577,339.77,227,kW
578,338.2,227,kW
579,336.96,227,kW
580,335.05,227,kW
581,333.48,227,kW
582,331.9,227,kW
583,330.33,227,kW
584,334.32,227,kW
585,332.75,227,kW
586,331.17,227,kW
587,329.6,227,kW
588,328.03,227,kW
589,326.45,227,kW
590,324.88,227,kW
591,323.31,227,kW
592,321.73,227,kW
593,320.16,227,kW
594,313.03,227,kW
595,311.45,227,kW
596,309.88,227,kW
597,308.31,227,kW
598,306.73,227,kW
599,305.16,227,kW
600,303.59,227,kW
601,302.01,227,kW
602,300.44,227,kW
603,298.87,227,kW
604,297.29,227,kW
605,295.72,227,kW
606,294.48,227,kW
607,292.57,227,kW
608,296.56,227,kW
609,294.99,227,kW
610,293.42,227,kW
611,291.84,227,kW
612,290.27,227,kW
613,288.7,227,kW
614,287.12,227,kW
615,285.55,227,kW
616,298.53,227,kW
617,326.06,227,kW
618,348.03,227,kW
619,375.56,227,kW
620,373.38,227,kW
621,341.49,227,kW
622,309.61,227,kW
623,277.72,227,kW
624,245.83,227,kW
625,213.94,227,kW
626,88.99,227,kW
627,198,227,kW
628,221.08,227,kW
629,267.24,227,kW
630,290.33,227,kW
631,290.33,227,kW
632,295.89,227,kW
633,295.89,227,kW
634,345.39,227,kW
635,394.89,227,kW
636,394.89,227,kW
637,394.89,227,kW
638,394.89,227,kW
639,394.89,227,kW
640,394.89,227,kW
641,394.89,227,kW
642,389.33,227,kW
643,389.33,227,kW
644,389.33,227,kW
645,389.33,227,kW
646,389.33,227,kW
647,389.66,227,kW
648,389.33,227,kW
649,389.33,227,kW
650,389.33,227,kW
651,389.33,227,kW
652,389.33,227,kW
653,389.33,227,kW
654,389.33,227,kW
655,389.33,227,kW
656,394.89,227,kW
657,394.89,227,kW
658,394.89,227,kW
659,394.89,227,kW
660,394.89,227,kW
661,394.89,227,kW
662,394.89,227,kW
663,394.89,227,kW
664,394.89,227,kW
665,394.89,227,kW
666,389.33,227,kW
667,389.33,227,kW
668,389.33,227,kW
669,389.33,227,kW
670,389.33,227,kW
671,389.33,227,kW
672,389.33,227,kW
673,389.66,227,kW
674,389.33,227,kW
675,389.33,227,kW
676,389.33,227,kW
677,389.33,227,kW
678,389.33,227,kW
679,389.33,227,kW
680,394.89,227,kW
681,394.89,227,kW
682,394.89,227,kW
683,394.89,227,kW
684,394.89,227,kW
685,394.89,227,kW
686,394.89,227,kW
687,394.89,227,kW
688,394.89,227,kW
689,394.89,227,kW
690,389.33,227,kW
691,389.33,227,kW
692,389.33,227,kW
693,389.33,227,kW
694,389.33,227,kW
695,389.33,227,kW
696,389.33,227,kW
697,389.33,227,kW
698,389.33,227,kW
699,389.33,227,kW
700,389.66,227,kW
701,389.33,227,kW
702,389.33,227,kW
703,389.33,227,kW
704,394.89,227,kW
705,394.89,227,kW
706,394.89,227,kW
707,394.89,227,kW
708,394.89,227,kW
709,394.89,227,kW
710,394.89,227,kW
711,394.89,227,kW
712,394.89,227,kW
713,394.89,227,kW
714,389.33,227,kW
715,389.33,227,kW
716,389.33,227,kW
717,389.33,227,kW
718,389.33,226,kW
719,389.33,226,kW
720,389.33,226,kW
721,389.33,226,kW
722,389.33,226,kW
723,389.33,226,kW
724,389.33,226,kW
725,389.33,226,kW
726,389.33,226,kW
727,389.66,226,kW
728,394.89,226,kW
729,394.89,226,kW
730,394.89,226,kW
731,394.89,226,kW
732,394.89,226,kW
733,394.89,226,kW
734,394.89,226,kW
735,394.89,226,kW
736,394.89,226,kW
737,394.89,226,kW
738,389.33,226,kW
739,389.33,226,kW
740,389.33,226,kW
741,389.33,226,kW
742,389.33,226,kW
743,389.33,226,kW
744,389.33,226,kW
745,389.33,226,kW
746,389.33,226,kW
747,388.54,226,kW
748,386.97,226,kW
749,385.39,226,kW
750,383.82,226,kW
751,382.25,226,kW
752,386.24,226,kW
753,385,226,kW
754,383.09,226,kW
755,381.52,226,kW
756,379.94,226,kW
757,378.37,226,kW
758,376.8,226,kW
759,375.22,226,kW
760,373.65,226,kW
761,372.08,226,kW
762,364.94,226,kW
763,363.37,226,kW
764,361.8,226,kW
765,360.22,226,kW
766,358.65,226,kW
767,357.08,226,kW
768,355.5,226,kW
769,353.93,226,kW
770,352.36,226,kW
771,350.78,226,kW
772,349.21,226,kW
773,347.64,226,kW
774,346.06,226,kW
775,344.49,226,kW
776,348.48,226,kW
777,346.91,226,kW
778,345.33,226,kW
779,343.76,226,kW
780,342.52,226,kW
781,340.61,226,kW
782,339.04,226,kW
783,337.47,226,kW
784,335.89,226,kW
785,334.32,226,kW
786,327.18,226,kW
787,325.61,226,kW
788,324.04,226,kW
789,322.46,226,kW
790,320.89,226,kW
791,319.32,226,kW
792,317.75,226,kW
793,316.17,226,kW
794,314.6,226,kW
795,313.03,226,kW
796,311.45,226,kW
797,309.88,226,kW
798,308.31,226,kW
799,306.73,226,kW
800,310.72,226,kW
801,309.15,226,kW
802,307.57,226,kW
803,306,226,kW
804,304.43,226,kW
805,302.86,226,kW
806,301.28,226,kW
807,300.04,226,kW
808,298.14,226,kW
809,296.56,226,kW
810,289.43,226,kW
811,287.85,226,kW
812,286.28,226,kW
813,284.71,226,kW
814,283.13,226,kW
815,281.56,226,kW
816,279.99,226,kW
817,292.97,226,kW
818,320.5,226,kW
819,348.03,226,kW
820,375.56,226,kW
821,373.38,226,kW
822,341.49,226,kW
823,309.61,226,kW
824,283.28,226,kW
825,251.39,226,kW
826,219.5,226,kW
827,94.55,226,kW
828,94.55,226,kW
829,94.55,226,kW
830,94.55,226,kW
831,94.55,226,kW
832,94.55,226,kW
833,94.55,226,kW
834,88.99,226,kW
835,88.99,226,kW
836,88.99,226,kW
837,88.99,226,kW
838,88.99,226,kW
839,88.99,226,kW
840,88.99,226,kW
841,88.99,226,kW
842,88.99,226,kW
843,88.99,226,kW
844,88.99,226,kW
845,88.99,226,kW
846,88.99,226,kW
847,88.99,226,kW
848,94.55,226,kW
849,94.55,226,kW
850,94.55,226,kW
851,94.55,226,kW
852,94.55,226,kW
853,94.55,226,kW
854,94.55,226,kW
855,94.55,226,kW
856,94.55,226,kW
857,94.55,226,kW
858,88.99,226,kW
859,88.99,226,kW
860,88.99,226,kW
861,88.99,226,kW
862,88.99,226,kW
863,88.99,226,kW
864,88.99,226,kW
865,88.99,226,kW
866,88.99,226,kW
867,88.99,226,kW
868,88.99,226,kW
869,88.99,226,kW
870,88.99,226,kW
871,88.99,226,kW
872,94.55,226,kW
873,94.55,226,kW
874,94.55,226,kW
875,94.55,226,kW
876,94.55,226,kW
877,94.55,226,kW
878,94.55,226,kW
879,94.55,226,kW
880,94.55,226,kW
881,94.55,226,kW
882,88.99,226,kW
883,88.99,226,kW
884,88.99,226,kW
885,88.99,226,kW
886,88.99,226,kW
887,88.99,226,kW
888,88.99,226,kW
889,88.99,226,kW
890,88.99,226,kW
891,88.99,226,kW
892,88.99,226,kW
893,88.99,226,kW
894,88.99,226,kW
895,88.99,226,kW
896,94.55,226,kW
897,94.55,226,kW
898,94.55,226,kW
899,94.55,226,kW
900,94.55,226,kW
901,94.55,226,kW
902,94.55,226,kW
903,94.55,226,kW
904,94.55,226,kW
905,94.55,226,kW
906,88.99,226,kW
907,88.99,226,kW
908,88.99,226,kW
909,88.99,226,kW
910,88.99,226,kW
911,88.99,226,kW
912,88.99,226,kW
913,88.99,226,kW
914,88.99,226,kW
915,88.99,226,kW
916,88.99,226,kW
917,88.99,226,kW
918,88.99,226,kW
919,88.99,226,kW
920,94.55,226,kW
921,94.55,226,kW
922,94.55,226,kW
923,94.55,226,kW
924,94.55,226,kW
925,94.55,226,kW
926,94.55,226,kW
927,94.55,226,kW
928,94.55,226,kW
929,94.55,226,kW
930,88.99,226,kW
931,88.99,226,kW
932,88.99,226,kW
933,88.99,226,kW
934,88.99,226,kW
935,88.99,226,kW
936,88.99,226,kW
937,88.99,226,kW
938,88.99,226,kW
939,88.99,226,kW
940,88.99,226,kW
941,88.99,226,kW
942,88.99,226,kW
943,88.99,226,kW
944,94.55,226,kW
945,94.55,226,kW
946,94.55,226,kW
947,94.55,226,kW
948,94.55,226,kW
949,94.55,226,kW
950,94.55,226,kW
951,94.55,226,kW
952,94.55,226,kW
953,94.55,226,kW
954,88.99,226,kW
955,88.99,226,kW
956,88.99,226,kW
957,88.99,226,kW
958,88.99,226,kW
959,88.99,226,kW
960,88.99,226,kW
961,88.99,226,kW
962,88.99,226,kW
963,88.99,226,kW
964,88.99,226,kW
965,88.99,226,kW
966,88.99,226,kW
967,88.99,226,kW
968,88.99,226,kW
969,88.99,226,kW
970,88.99,226,kW
971,88.99,226,kW
972,88.99,226,kW
973,88.99,226,kW
974,88.99,226,kW
975,88.99,226,kW
976,88.99,226,kW
977,88.99,226,kW
978,88.99,226,kW
979,88.99,226,kW
980,88.99,226,kW
981,88.99,226,kW
982,88.99,226,kW
983,88.99,226,kW
984,88.99,226,kW
985,88.99,226,kW
986,88.99,226,kW
987,88.99,226,kW
988,88.99,226,kW
989,88.99,226,kW
990,88.99,226,kW
991,88.99,226,kW
992,88.99,226,kW
993,88.99,226,kW
994,88.99,226,kW
995,88.99,226,kW
996,88.99,226,kW
997,88.99,226,kW
998,88.99,226,kW
999,88.99,226,kW
1000,88.99,226,kW
1001,88.99,226,kW
1002,88.99,226,kW
1003,88.99,226,kW
1004,88.99,226,kW
1005,88.99,226,kW
1006,88.99,226,kW
1007,88.99,226,kW
1008,88.99,226,kW
1009,88.99,226,kW
1010,88.99,226,kW
1011,88.99,226,kW
1012,88.99,226,kW
1013,88.99,226,kW
1014,88.99,226,kW
1015,88.99,226,kW
1016,88.99,226,kW
1017,88.99,226,kW
1018,88.99,226,kW
1019,88.99,226,kW
1020,88.99,226,kW
1021,88.99,226,kW
1022,88.99,226,kW
1023,88.99,226,kW
1024,88.99,226,kW
1025,88.99,226,kW
1026,88.99,226,kW
1027,88.99,226,kW
1028,88.99,226,kW
1029,88.99,226,kW
1030,88.99,226,kW
1031,88.99,226,kW
1032,88.99,226,kW
1033,88.99,226,kW
1034,88.99,226,kW
1035,88.99,226,kW
1036,88.99,226,kW
1037,88.99,226,kW
1038,88.99,226,kW
1039,88.99,226,kW
1040,88.99,226,kW
1041,88.99,226,kW
1042,88.99,226,kW
1043,88.99,226,kW
1044,88.99,226,kW
1045,88.99,226,kW
1046,88.99,226,kW
1047,88.99,226,kW
1048,88.99,226,kW
1049,88.99,226,kW
1050,88.99,226,kW
1051,88.99,226,kW
1052,88.99,226,kW
1053,88.99,226,kW
1054,88.99,226,kW
1055,88.99,226,kW
1056,88.99,226,kW
1057,88.99,226,kW
1058,88.99,226,kW
1059,88.99,226,kW
1060,88.99,226,kW
1061,88.99,226,kW
1062,88.99,226,kW
1063,88.99,226,kW
1064,88.99,226,kW
1065,88.99,226,kW
1066,88.99,226,kW
1067,88.99,226,kW
1068,88.99,226,kW
1069,88.99,226,kW
1070,88.99,226,kW
1071,88.99,226,kW
1072,88.99,226,kW
1073,88.99,226,kW
1074,88.99,226,kW
1075,88.99,226,kW
1076,88.99,226,kW
1077,88.99,226,kW
1078,88.99,226,kW
1079,88.99,226,kW
1080,88.99,226,kW
1081,88.99,226,kW
1082,88.99,226,kW
1083,88.99,226,kW
1084,88.99,226,kW
1085,88.99,226,kW
1086,88.99,226,kW
1087,88.99,226,kW
1088,88.99,226,kW
1089,88.99,226,kW
1090,88.99,226,kW
1091,88.99,226,kW
1092,88.99,226,kW
1093,88.99,226,kW
1094,88.99,226,kW
1095,88.99,226,kW
1096,88.99,226,kW
1097,88.99,226,kW
1098,88.99,226,kW
1099,88.99,226,kW
1100,88.99,226,kW
1101,88.99,226,kW
1102,88.99,226,kW
1103,88.99,226,kW
1104,88.99,226,kW
1105,88.99,226,kW
1106,88.99,226,kW
1107,88.99,226,kW
1108,88.99,226,kW
1109,88.99,226,kW
1110,88.99,226,kW
1111,88.99,226,kW
1112,88.99,226,kW
1113,88.99,226,kW
1114,88.99,226,kW
1115,88.99,226,kW
1116,88.99,225,kW
1117,88.99,225,kW
1118,88.99,225,kW
1119,88.99,225,kW
1120,88.99,225,kW
1121,88.99,225,kW
1122,88.99,225,kW
1123,88.99,225,kW
1124,88.99,225,kW
1125,88.99,225,kW
1126,88.99,225,kW
1127,88.99,225,kW
1128,88.99,225,kW
1129,88.99,225,kW
1130,88.99,225,kW
1131,88.99,225,kW
1132,88.99,225,kW
1133,88.99,225,kW
1134,88.99,225,kW
1135,88.99,225,kW
1136,88.99,225,kW
1137,88.99,225,kW
1138,88.99,225,kW
1139,88.99,225,kW
1140,88.99,225,kW
1141,88.99,225,kW
1142,88.99,225,kW
1143,88.99,225,kW
1144,88.99,225,kW
1145,88.99,225,kW
1146,88.99,225,kW
1147,88.99,225,kW
1148,88.99,225,kW
1149,88.99,225,kW
1150,88.99,225,kW
1151,88.99,225,kW
1152,198,225,kW
1153,221.08,225,kW
1154,267.24,225,kW
1155,290.33,225,kW
1156,290.33,225,kW
1157,290.33,225,kW
1158,290.33,225,kW
1159,339.83,225,kW
1160,394.89,225,kW
1161,394.89,225,kW
1162,394.89,225,kW
1163,394.89,225,kW
1164,394.89,225,kW
1165,394.89,225,kW
1166,394.89,225,kW
1167,394.89,225,kW
1168,394.89,225,kW
1169,394.89,225,kW
1170,389.33,225,kW
1171,389.33,225,kW
1172,389.66,225,kW
1173,389.33,225,kW
1174,389.33,225,kW
1175,389.33,225,kW
1176,389.33,225,kW
1177,389.33,225,kW
1178,389.33,225,kW
1179,389.33,225,kW
1180,389.33,225,kW
1181,389.33,225,kW
1182,389.33,225,kW
1183,389.33,225,kW
1184,394.89,225,kW
1185,394.89,225,kW
1186,394.89,225,kW
1187,394.89,225,kW
1188,394.89,225,kW
1189,394.89,225,kW
1190,394.89,225,kW
1191,394.89,225,kW
1192,394.89,225,kW
1193,394.89,225,kW
1194,389.33,225,kW
1195,389.33,225,kW
1196,389.33,225,kW
1197,389.33,225,kW
1198,389.66,225,kW
1199,389.33,225,kW
1200,389.33,225,kW
1201,389.33,225,kW
1202,389.33,225,kW
1203,389.33,225,kW
1204,389.33,225,kW
1205,389.33,225,kW
1206,389.33,225,kW
1207,389.33,225,kW
1208,394.89,225,kW
1209,394.89,225,kW
1210,394.89,225,kW
1211,394.89,225,kW
1212,394.89,225,kW
1213,394.89,225,kW
1214,394.89,225,kW
1215,394.89,225,kW
1216,394.89,225,kW
1217,394.89,225,kW
1218,389.33,225,kW
1219,389.33,225,kW
1220,389.33,225,kW
1221,389.33,225,kW
1222,389.33,225,kW
1223,389.33,225,kW
1224,389.33,225,kW
1225,389.66,225,kW
1226,389.33,225,kW
1227,389.33,225,kW
1228,389.33,225,kW
1229,389.33,225,kW
1230,389.33,225,kW
1231,389.33,225,kW
1232,394.89,225,kW
1233,394.89,225,kW
1234,394.89,225,kW
1235,394.89,225,kW
1236,394.89,225,kW
1237,394.89,225,kW
1238,394.89,225,kW
1239,394.89,225,kW
1240,394.89,225,kW
1241,394.89,225,kW
1242,389.33,225,kW
1243,389.33,225,kW
1244,389.33,225,kW
1245,389.33,225,kW
1246,389.33,225,kW
